id,pregunta,opciones,indice_correcto,dificultad,categoría
1,"¿Qué elemento químico tiene el símbolo 'O'?","Osmio - Oro - Oxígeno - Oganesón",2,"fácil","química"
2,"¿Qué planeta es conocido como 'el planeta rojo'?","Venus - Júpiter - Saturno - Marte",3,"fácil","química"
3,"¿Cuál es el río más largo del mundo?","Nilo - Misisipi - Yangtsé - Amazonas",3,"fácil","química"
4,"¿Quién pintó 'La Mona Lisa'?","Pablo Picasso - Leonardo da Vinci - Vincent van Gogh - Salvador Dalí",1,"fácil","arte"
5,"¿En qué año llegó el hombre a la luna?","1969 - 1955 - 1975 - 1989",0,"fácil","historia"
6,"¿Qué imperio fue gobernado por Julio César?","Imperio Británico - Imperio Romano - Imperio Mongol - Imperio Otomano",1,"fácil","historia"
7,"¿En qué obra literaria aparece el personaje 'Jay Gatsby'?","Moby Dick - Matar a un ruiseñor - 1984 - El gran Gatsby",3,"fácil","arte"
8,"¿Qué artista musical es conocido como 'El Rey del Pop'?","Freddie Mercury - Madonna - Michael Jackson - Elvis Presley",2,"fácil","arte"
9,"¿Cuál es el resultado de 5! (factorial de 5)?","20 - 60 - 120 - 720",2,"media","matemáticas"
10,"¿Qué poeta escribió 'El cuervo'?","William Shakespeare - Pablo Neruda - Edgar Allan Poe - Mario Benedetti",2,"fácil","arte"
11,"¿En qué país se originó el sushi?","Japón - Tailandia - China - Corea del Sur",0,"fácil","historia"
12,"¿Qué filósofo dijo 'Pienso, luego existo'?","Friedrich Nietzsche - Platón - Aristóteles - René Descartes",3,"fácil","historia"
13,"¿En qué año se disolvió la Unión Soviética?","1975 - 1991 - 1989 - 1993",1,"fácil","historia"
14,"¿Qué guerra comenzó en 1914?","Guerra Fría - Guerra de Vietnam - Primera Guerra Mundial - Guerra de Corea",2,"media","historia"
15,"¿Qué artista es conocido como 'El rey del rock and roll'?","Freddie Mercury - Elvis Presley - John Lennon - Mick Jagger",1,"fácil","arte"
16,"¿En qué década se lanzó el primer iPhone?","1990s - 2000s - 2010s - 1980s",1,"media","historia"
17,"¿Qué pintor es famoso por sus 'Campo de trigo con cuervos'?","Vincent van Gogh - Pablo Picasso - Claude Monet - Salvador Dalí",0,"media","arte"
18,"¿Cuál es el valor de 'x' en la ecuación 2x + 5 = 17?","4 - 6 - 7 - 9",1,"media","matemáticas"
19,"¿Qué país NO es parte de la península escandinava?","Suecia - Noruega - Finlandia - Dinamarca",3,"media","historia"
20,"¿Qué escritor creó al detective Sherlock Holmes?","Agatha Christie - Arthur Conan Doyle - Edgar Allan Poe - Charles Dickens",1,"media","arte"
21,"¿En qué deporte se usa el término 'hat-trick'?","Fútbol - Baloncesto - Tenis - Béisbol",0,"media","deportes"
22,"¿Qué instrumento musical es el más característico del jazz tradicional?","Violín - Saxofón - Flauta - Arpa",1,"media","arte"
23,"¿Qué famoso científico formuló las leyes del movimiento?","Albert Einstein - Isaac Newton - Galileo Galilei - Stephen Hawking",1,"media","química"
24,"¿Qué película ganó el Óscar a Mejor Película en 2020?","Parásitos - 1917 - Joker - Nomadland",0,"media","arte"
25,"¿Qué lengua NO es de origen romance?","Francés - Rumano - Alemán - Español",2,"media","historia"
26,"¿En qué deporte olímpico los atletas compiten en las pruebas de jabalina, disco y martillo?","Natación - Atletismo - Gimnasia - Ciclismo",1,"media","deportes"
27,"¿Qué órgano humano produce la insulina?","Hígado - Páncreas - Riñón - Estómago",1,"media","química"
28,"¿Qué vitamina se obtiene principalmente de la luz solar?","Vitamina A - Vitamina C - Vitamina D - Vitamina K",2,"media","química"

29,"¿Qué matemático del siglo XX resolvió el séptimo problema de Hilbert relacionado con números trascendentales?","Kurt Gödel - David Hilbert - Aleksandr Gelfond - Emmy Noether",2,"difícil","matemáticas"
30,"¿Cuál es el nombre del manuscrito medieval, escrito en un idioma indescifrable, que ha desconcertado a criptógrafos durante décadas?","Manuscrito de Voynich - Códice Gigas - Manuscrito de Beale - Libro de Kells",0,"difícil","historia"
31,"¿Qué elemento químico fue el primero en ser creado artificialmente?","Neptunio - Tecnecio - Prometio - Curio",1,"difícil","química"
32,"¿Qué filósofo presocrático propuso que todo estaba compuesto por 'semillas' o 'nous' como principio organizador?","Parménides - Anaxágoras - Empédocles - Demócrito",1,"difícil","historia"
33,"¿Qué lengua extinta fue descifrada gracias a la piedra de Rosetta?","Cuneiforme sumerio - Akkadio - Egipcio jeroglífico - Lineal A",2,"difícil","historia"
34,"¿Qué país ganó el primer Mundial de Fútbol en 1930?","Brasil - Italia - Uruguay - Argentina",2,"difícil","deportes"
35,"¿Qué atleta ostenta el récord olímpico de más medallas de oro (23) en natación?","Mark Spitz - Ian Thorpe - Michael Phelps - Ryan Lochte",2,"difícil","deportes"
