id,nombre,ganancias,participaciones,mejor_racha,ranking
1,Juan,1200,2,1,6,None
2,Maria,850,4,2,7,media
3,Luis,2100,1,1,3,dificil
4,Ana,3400,5,3,2,facil
5,Pedro,300,3,1,9,facil
6,Lucia,1600,2,1,4,media
7,Jose,4500,6,4,5,dificil
8,Carla,7000,8,5,1,media
9,Diego,12000,10,6,8,dificil
10,Elena,5000,4,2,10,facil
11,Raul,8000,7,3,12,media
12,Clara,9500,9,4,11,dificil
13,Oscar,13000,11,5,13,media
14,Valeria,6000,3,2,14,facil
15,Martin,4000,5,3,15,dificil
16,Anabelle,8200,8,4,2,media
17,Pedro,18500,6,3,3,dificil
18,Laura,12750,5,2,4,media
19,Miguel,8900,7,5,6,facil
20,Carmen,6200,4,2,7,media
21,Roberto,4500,9,1,9,dificil
22,Elena,35000,12,6,1,dificil
23,Fernando,3200,3,3,10,facil
24,Isabel,7800,5,4,8,media
25,Ricardo,1950,2,1,11,media
26,Patricia,890,4,0,16,facil
27,Andrés,15600,7,5,5,dificil
28,Monica,2400,6,2,12,media
29,Jorge,750,3,1,17,facil
30,Lucia,11200,8,3,7,media
31,Raul,450,2,0,18,facil
32,Cristina,28000,10,7,3,dificil
33,Alberto,320,1,1,19,media
34,Beatriz,9500,6,4,9,media
35,Esteban,6700,5,2,13,dificil
36,Natalia,1800,3,2,14,facil
37,Gustavo,22000,9,5,4,dificil
38,Silvia,580,2,1,20,media
39,Oscar,13400,7,6,6,media
40,Valeria,3800,4,3,15,facil
41,Damian,95,1,0,21,facil
42,Roxana,17500,8,4,8,dificil
43,Emilio,670,3,1,22,media
44,Claudia,41000,15,8,2,dificil
45,Hernan,2100,5,2,17,media
46,Mariana,8300,6,3,11,media
47,Gonzalo,550,2,1,23,facil
48,Alejandra,19800,9,5,7,dificil
49,Victor,1200,4,1,24,media
50,Gabriela,14700,7,4,10,media
51,Martin,780,3,2,25,facil
52,Carolina,26500,11,6,5,dificil
53,Facundo,290,1,0,26,media
